obsUnitId,collectionDate,NDVI,SPAD,plot_maxheight_cm,plot_maxwidth_cm
TTADDA_NARO_2023_F1P12,2023-08-09,,17.375,,
TTADDA_NARO_2023_F1P12,2023-08-12,0.665,,65.0,62.5
TTADDA_NARO_2023_F1P12,2023-08-15,,17.7,,
TTADDA_NARO_2023_F1P12,2023-08-19,0.52,,55.0,52.5
TTADDA_NARO_2023_F1P12,2023-08-22,,15.925,,
TTADDA_NARO_2023_F1P12,2023-08-27,0.32,,30.0,7.5
TTADDA_NARO_2023_F1P12,2023-08-29,,10.1,,
TTADDA_NARO_2023_F1P12,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P12,2023-09-11,,,,
TTADDA_NARO_2023_F1P13,2023-06-06,,,1.5,12.5
TTADDA_NARO_2023_F1P13,2023-06-07,0.175,,,
TTADDA_NARO_2023_F1P13,2023-06-11,,,4.75,27.25
TTADDA_NARO_2023_F1P13,2023-06-12,0.235,53.45,,
TTADDA_NARO_2023_F1P13,2023-06-17,,,14.75,41.5
TTADDA_NARO_2023_F1P13,2023-06-19,0.505,,,
TTADDA_NARO_2023_F1P13,2023-06-20,,50.025,,
TTADDA_NARO_2023_F1P13,2023-06-24,,,20.75,49.75
TTADDA_NARO_2023_F1P13,2023-06-26,0.46,,,
TTADDA_NARO_2023_F1P13,2023-06-27,,58.375,,
TTADDA_NARO_2023_F1P13,2023-07-02,,,38.5,60.0
TTADDA_NARO_2023_F1P13,2023-07-04,0.73,47.475,,
TTADDA_NARO_2023_F1P13,2023-07-08,,,43.0,61.25
TTADDA_NARO_2023_F1P13,2023-07-09,0.715,,,
TTADDA_NARO_2023_F1P13,2023-07-11,,45.8,,
TTADDA_NARO_2023_F1P13,2023-07-16,,,49.25,62.5
TTADDA_NARO_2023_F1P13,2023-07-18,,41.45,,
TTADDA_NARO_2023_F1P13,2023-07-19,0.79,,,
TTADDA_NARO_2023_F1P13,2023-07-22,,,50.0,62.5
TTADDA_NARO_2023_F1P13,2023-07-24,0.82,37.4,,
TTADDA_NARO_2023_F1P13,2023-07-29,,,52.5,52.5
TTADDA_NARO_2023_F1P13,2023-08-01,0.83,35.1,,
TTADDA_NARO_2023_F1P13,2023-08-05,,,52.5,62.5
TTADDA_NARO_2023_F1P13,2023-08-06,0.775,,,
TTADDA_NARO_2023_F1P13,2023-08-09,,30.925,,
TTADDA_NARO_2023_F1P13,2023-08-12,0.77,,52.5,55.0
TTADDA_NARO_2023_F1P13,2023-08-15,,27.275,,
TTADDA_NARO_2023_F1P13,2023-08-19,0.54,,55.0,55.0
TTADDA_NARO_2023_F1P13,2023-08-22,,25.825,,
TTADDA_NARO_2023_F1P13,2023-08-27,0.27,,22.5,2.5
TTADDA_NARO_2023_F1P13,2023-08-29,,5.7,,
TTADDA_NARO_2023_F1P13,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P13,2023-09-11,,,,
TTADDA_NARO_2023_F1P14,2023-06-06,,,2.25,13.75
TTADDA_NARO_2023_F1P14,2023-06-07,0.18,,,
TTADDA_NARO_2023_F1P14,2023-06-11,,,4.5,30.75
TTADDA_NARO_2023_F1P14,2023-06-12,0.26,49.925,,
TTADDA_NARO_2023_F1P14,2023-06-17,,,12.5,38.25
TTADDA_NARO_2023_F1P14,2023-06-19,0.4,,,
TTADDA_NARO_2023_F1P14,2023-06-20,,51.9,,
TTADDA_NARO_2023_F1P14,2023-06-24,,,20.0,46.25
TTADDA_NARO_2023_F1P14,2023-06-26,0.455,,,
TTADDA_NARO_2023_F1P14,2023-06-27,,58.425,,
TTADDA_NARO_2023_F1P14,2023-07-02,,,36.25,58.75
TTADDA_NARO_2023_F1P14,2023-07-04,0.775,48.425,,
TTADDA_NARO_2023_F1P14,2023-07-08,,,50.0,57.5
TTADDA_NARO_2023_F1P14,2023-07-09,0.72,,,
TTADDA_NARO_2023_F1P14,2023-07-11,,44.55,,
TTADDA_NARO_2023_F1P14,2023-07-16,,,50.25,61.25
TTADDA_NARO_2023_F1P14,2023-07-18,,42.1,,
TTADDA_NARO_2023_F1P14,2023-07-19,0.8,,,
TTADDA_NARO_2023_F1P14,2023-07-22,,,49.0,60.0
TTADDA_NARO_2023_F1P14,2023-07-24,0.805,37.85,,
TTADDA_NARO_2023_F1P14,2023-07-29,,,52.5,60.0
TTADDA_NARO_2023_F1P14,2023-08-01,0.83,35.15,,
TTADDA_NARO_2023_F1P14,2023-08-05,,,52.5,62.5
TTADDA_NARO_2023_F1P14,2023-08-06,0.635,,,
TTADDA_NARO_2023_F1P14,2023-08-09,,27.35,,
TTADDA_NARO_2023_F1P14,2023-08-12,0.81,,55.0,65.0
TTADDA_NARO_2023_F1P14,2023-08-15,,29.35,,
TTADDA_NARO_2023_F1P14,2023-08-19,0.585,,52.5,57.5
TTADDA_NARO_2023_F1P14,2023-08-22,,24.175,,
TTADDA_NARO_2023_F1P14,2023-08-27,0.22,,24.0,2.5
TTADDA_NARO_2023_F1P14,2023-08-29,,0.0,,
TTADDA_NARO_2023_F1P14,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P14,2023-09-11,,,,
TTADDA_NARO_2023_F1P15,2023-06-06,,,1.66666666666667,4.66666666666667
TTADDA_NARO_2023_F1P15,2023-06-07,0.15,,,
TTADDA_NARO_2023_F1P15,2023-06-11,,,4.75,18.25
TTADDA_NARO_2023_F1P15,2023-06-12,0.245,54.575,,
TTADDA_NARO_2023_F1P15,2023-06-17,,,16.75,34.75
TTADDA_NARO_2023_F1P15,2023-06-19,0.34,,,
TTADDA_NARO_2023_F1P15,2023-06-20,,49.7,,
TTADDA_NARO_2023_F1P15,2023-06-24,,,24.5,39.5
TTADDA_NARO_2023_F1P15,2023-06-26,0.545,,,
TTADDA_NARO_2023_F1P15,2023-06-27,,52.05,,
TTADDA_NARO_2023_F1P15,2023-07-02,,,35.0,58.25
TTADDA_NARO_2023_F1P15,2023-07-04,0.7,45.575,,
TTADDA_NARO_2023_F1P15,2023-07-08,,,45.75,60.0
TTADDA_NARO_2023_F1P15,2023-07-09,0.705,,,
TTADDA_NARO_2023_F1P15,2023-07-11,,38.875,,
TTADDA_NARO_2023_F1P15,2023-07-16,,,49.75,61.25
TTADDA_NARO_2023_F1P15,2023-07-18,,35.85,,
TTADDA_NARO_2023_F1P15,2023-07-19,0.785,,,
TTADDA_NARO_2023_F1P15,2023-07-22,,,55.0,62.5
TTADDA_NARO_2023_F1P15,2023-07-24,0.77,32.75,,
TTADDA_NARO_2023_F1P15,2023-07-29,,,55.0,62.5
TTADDA_NARO_2023_F1P15,2023-08-01,0.735,30.875,,
TTADDA_NARO_2023_F1P15,2023-08-05,,,57.5,52.5
TTADDA_NARO_2023_F1P15,2023-08-06,0.615,,,
TTADDA_NARO_2023_F1P15,2023-08-09,,27.6,,
TTADDA_NARO_2023_F1P15,2023-08-12,0.595,,55.0,57.5
TTADDA_NARO_2023_F1P15,2023-08-15,,21.2,,
TTADDA_NARO_2023_F1P15,2023-08-19,0.495,,52.5,50.0
TTADDA_NARO_2023_F1P15,2023-08-22,,23.25,,
TTADDA_NARO_2023_F1P15,2023-08-27,0.385,,50.0,37.5
TTADDA_NARO_2023_F1P15,2023-08-29,,21.0,,
TTADDA_NARO_2023_F1P15,2023-09-04,0.27,0.0,0.0,0.0
TTADDA_NARO_2023_F1P15,2023-09-11,,0.0,,
TTADDA_NARO_2023_F1P16,2023-06-06,,,2.75,14.75
TTADDA_NARO_2023_F1P16,2023-06-07,0.205,,,
TTADDA_NARO_2023_F1P16,2023-06-11,,,5.25,28.25
TTADDA_NARO_2023_F1P16,2023-06-12,0.365,52.875,,
TTADDA_NARO_2023_F1P16,2023-06-17,,,18.0,40.5
TTADDA_NARO_2023_F1P16,2023-06-19,0.445,,,
TTADDA_NARO_2023_F1P16,2023-06-20,,47.725,,
TTADDA_NARO_2023_F1P16,2023-06-24,,,27.25,55.0
TTADDA_NARO_2023_F1P16,2023-06-26,0.675,,,
TTADDA_NARO_2023_F1P16,2023-06-27,,55.125,,
TTADDA_NARO_2023_F1P16,2023-07-02,,,42.5,60.0
TTADDA_NARO_2023_F1P16,2023-07-04,0.815,46.175,,
TTADDA_NARO_2023_F1P16,2023-07-08,,,51.5,60.0
TTADDA_NARO_2023_F1P16,2023-07-09,0.795,,,
TTADDA_NARO_2023_F1P16,2023-07-11,,39.225,,
TTADDA_NARO_2023_F1P16,2023-07-16,,,58.75,60.0
TTADDA_NARO_2023_F1P16,2023-07-18,,36.725,,
TTADDA_NARO_2023_F1P16,2023-07-19,0.815,,,
TTADDA_NARO_2023_F1P16,2023-07-22,,,50.0,57.5
TTADDA_NARO_2023_F1P16,2023-07-24,0.78,33.275,,
TTADDA_NARO_2023_F1P16,2023-07-29,,,65.0,60.0
TTADDA_NARO_2023_F1P16,2023-08-01,0.685,24.5,,
TTADDA_NARO_2023_F1P16,2023-08-05,,,62.5,57.5
TTADDA_NARO_2023_F1P16,2023-08-06,0.665,,,
TTADDA_NARO_2023_F1P16,2023-08-09,,23.4,,
TTADDA_NARO_2023_F1P16,2023-08-12,0.6,,57.5,62.5
TTADDA_NARO_2023_F1P16,2023-08-15,,16.7,,
TTADDA_NARO_2023_F1P16,2023-08-19,0.41,,50.0,35.0
TTADDA_NARO_2023_F1P16,2023-08-22,,13.15,,
TTADDA_NARO_2023_F1P16,2023-08-27,0.2,,0.0,0.0
TTADDA_NARO_2023_F1P16,2023-08-29,,2.675,,
TTADDA_NARO_2023_F1P16,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P16,2023-09-11,,,,
TTADDA_NARO_2023_F1P17,2023-06-06,,,3.25,12.5
TTADDA_NARO_2023_F1P17,2023-06-07,0.21,,,
TTADDA_NARO_2023_F1P17,2023-06-11,,,4.5,27.5
TTADDA_NARO_2023_F1P17,2023-06-12,0.295,55.7,,
TTADDA_NARO_2023_F1P17,2023-06-17,,,15.0,40.5
TTADDA_NARO_2023_F1P17,2023-06-19,0.52,,,
TTADDA_NARO_2023_F1P17,2023-06-20,,52.325,,
TTADDA_NARO_2023_F1P17,2023-06-24,,,23.75,48.75
TTADDA_NARO_2023_F1P17,2023-06-26,0.505,,,
TTADDA_NARO_2023_F1P17,2023-06-27,,54.15,,
TTADDA_NARO_2023_F1P17,2023-07-02,,,38.5,60.0
TTADDA_NARO_2023_F1P17,2023-07-04,0.75,46.575,,
TTADDA_NARO_2023_F1P17,2023-07-08,,,39.0,65.0
TTADDA_NARO_2023_F1P17,2023-07-09,0.695,,,
TTADDA_NARO_2023_F1P17,2023-07-11,,44.675,,
TTADDA_NARO_2023_F1P17,2023-07-16,,,42.75,63.75
TTADDA_NARO_2023_F1P17,2023-07-18,,40.725,,
TTADDA_NARO_2023_F1P17,2023-07-19,0.84,,,
TTADDA_NARO_2023_F1P17,2023-07-22,,,50.0,65.0
TTADDA_NARO_2023_F1P17,2023-07-24,0.84,36.0,,
TTADDA_NARO_2023_F1P17,2023-07-29,,,52.5,67.5
TTADDA_NARO_2023_F1P17,2023-08-01,0.645,30.475,,
TTADDA_NARO_2023_F1P17,2023-08-05,,,50.0,57.5
TTADDA_NARO_2023_F1P17,2023-08-06,0.615,,,
TTADDA_NARO_2023_F1P17,2023-08-09,,26.8,,
TTADDA_NARO_2023_F1P17,2023-08-12,0.54,,52.5,52.5
TTADDA_NARO_2023_F1P17,2023-08-15,,19.9,,
TTADDA_NARO_2023_F1P17,2023-08-19,0.402,,42.5,30.0
TTADDA_NARO_2023_F1P17,2023-08-22,,21.625,,
TTADDA_NARO_2023_F1P17,2023-08-27,0.23,,22.5,2.5
TTADDA_NARO_2023_F1P17,2023-08-29,,3.95,,
TTADDA_NARO_2023_F1P17,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P17,2023-09-11,,,,
TTADDA_NARO_2023_F1P18,2023-06-06,,,2.5,10.75
TTADDA_NARO_2023_F1P18,2023-06-07,0.14,,,
TTADDA_NARO_2023_F1P18,2023-06-11,,,5.25,28.75
TTADDA_NARO_2023_F1P18,2023-06-12,0.24,54.4,,
TTADDA_NARO_2023_F1P18,2023-06-17,,,16.25,43.5
TTADDA_NARO_2023_F1P18,2023-06-19,0.4,,,
TTADDA_NARO_2023_F1P18,2023-06-20,,48.7,,
TTADDA_NARO_2023_F1P18,2023-06-24,,,26.5,52.0
TTADDA_NARO_2023_F1P18,2023-06-26,0.47,,,
TTADDA_NARO_2023_F1P18,2023-06-27,,54.7,,
TTADDA_NARO_2023_F1P18,2023-07-02,,,39.5,60.0
TTADDA_NARO_2023_F1P18,2023-07-04,0.725,44.675,,
TTADDA_NARO_2023_F1P18,2023-07-08,,,51.0,65.0
TTADDA_NARO_2023_F1P18,2023-07-09,0.705,,,
TTADDA_NARO_2023_F1P18,2023-07-11,,36.8,,
TTADDA_NARO_2023_F1P18,2023-07-16,,,49.0,65.0
TTADDA_NARO_2023_F1P18,2023-07-18,,32.725,,
TTADDA_NARO_2023_F1P18,2023-07-19,0.795,,,
TTADDA_NARO_2023_F1P18,2023-07-22,,,50.0,67.5
TTADDA_NARO_2023_F1P18,2023-07-24,0.78,28.125,,
TTADDA_NARO_2023_F1P18,2023-07-29,,,55.0,67.5
TTADDA_NARO_2023_F1P18,2023-08-01,0.7,22.875,,
TTADDA_NARO_2023_F1P18,2023-08-05,,,55.0,62.5
TTADDA_NARO_2023_F1P18,2023-08-06,0.625,,,
TTADDA_NARO_2023_F1P18,2023-08-09,,21.075,,
TTADDA_NARO_2023_F1P18,2023-08-12,0.675,,52.5,65.0
TTADDA_NARO_2023_F1P18,2023-08-15,,18.525,,
TTADDA_NARO_2023_F1P18,2023-08-19,0.565,,49.0,52.5
TTADDA_NARO_2023_F1P18,2023-08-22,,14.625,,
TTADDA_NARO_2023_F1P18,2023-08-27,0.335,,52.5,47.5
TTADDA_NARO_2023_F1P18,2023-08-29,,7.05,,
TTADDA_NARO_2023_F1P18,2023-09-04,0.245,,0.0,0.0
TTADDA_NARO_2023_F1P18,2023-09-11,,,,
TTADDA_NARO_2023_F1P19,2023-06-06,,,2.25,12.75
TTADDA_NARO_2023_F1P19,2023-06-07,0.155,,,
TTADDA_NARO_2023_F1P19,2023-06-11,,,5.0,28.0
TTADDA_NARO_2023_F1P19,2023-06-12,0.36,53.7,,
TTADDA_NARO_2023_F1P19,2023-06-17,,,18.25,42.0
TTADDA_NARO_2023_F1P19,2023-06-19,0.47,,,
TTADDA_NARO_2023_F1P19,2023-06-20,,53.75,,
TTADDA_NARO_2023_F1P19,2023-06-24,,,27.5,48.25
TTADDA_NARO_2023_F1P19,2023-06-26,0.535,,,
TTADDA_NARO_2023_F1P19,2023-06-27,,55.2,,
TTADDA_NARO_2023_F1P19,2023-07-02,,,35.25,56.25
TTADDA_NARO_2023_F1P19,2023-07-04,0.72,46.775,,
TTADDA_NARO_2023_F1P19,2023-07-08,,,39.0,57.5
TTADDA_NARO_2023_F1P19,2023-07-09,0.8,,,
TTADDA_NARO_2023_F1P19,2023-07-11,,42.3,,
TTADDA_NARO_2023_F1P19,2023-07-16,,,39.0,61.25
TTADDA_NARO_2023_F1P19,2023-07-18,,39.875,,
TTADDA_NARO_2023_F1P19,2023-07-19,0.77,,,
TTADDA_NARO_2023_F1P19,2023-07-22,,,42.5,57.5
TTADDA_NARO_2023_F1P19,2023-07-24,0.765,36.525,,
TTADDA_NARO_2023_F1P19,2023-07-29,,,47.5,52.5
TTADDA_NARO_2023_F1P19,2023-08-01,0.57,24.7,,
TTADDA_NARO_2023_F1P19,2023-08-05,,,44.0,50.0
TTADDA_NARO_2023_F1P19,2023-08-06,0.52,,,
TTADDA_NARO_2023_F1P19,2023-08-09,,19.4,,
TTADDA_NARO_2023_F1P19,2023-08-12,0.45,,44.0,48.0
TTADDA_NARO_2023_F1P19,2023-08-15,,22.125,,
TTADDA_NARO_2023_F1P19,2023-08-19,0.27,,40.0,15.0
TTADDA_NARO_2023_F1P19,2023-08-22,,4.825,,
TTADDA_NARO_2023_F1P19,2023-08-27,,,0.0,0.0
TTADDA_NARO_2023_F1P19,2023-08-29,,0.0,,
TTADDA_NARO_2023_F1P19,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P19,2023-09-11,,,,
TTADDA_NARO_2023_F1P20,2023-06-06,,,2.66666666666667,9.33333333333333
TTADDA_NARO_2023_F1P20,2023-06-07,0.16,,,
TTADDA_NARO_2023_F1P20,2023-06-11,,,6.0,24.0
TTADDA_NARO_2023_F1P20,2023-06-12,0.335,55.125,,
TTADDA_NARO_2023_F1P20,2023-06-17,,,13.0,43.0
TTADDA_NARO_2023_F1P20,2023-06-19,0.37,,,
TTADDA_NARO_2023_F1P20,2023-06-20,,51.425,,
TTADDA_NARO_2023_F1P20,2023-06-24,,,19.0,38.25
TTADDA_NARO_2023_F1P20,2023-06-26,0.5,,,
TTADDA_NARO_2023_F1P20,2023-06-27,,51.175,,
TTADDA_NARO_2023_F1P20,2023-07-02,,,36.5,51.25
TTADDA_NARO_2023_F1P20,2023-07-04,0.78,43.275,,
TTADDA_NARO_2023_F1P20,2023-07-08,,,45.0,57.5
TTADDA_NARO_2023_F1P20,2023-07-09,0.83,,,
TTADDA_NARO_2023_F1P20,2023-07-11,,37.95,,
TTADDA_NARO_2023_F1P20,2023-07-16,,,49.75,57.5
TTADDA_NARO_2023_F1P20,2023-07-18,,35.15,,
TTADDA_NARO_2023_F1P20,2023-07-19,0.815,,,
TTADDA_NARO_2023_F1P20,2023-07-22,,,50.0,67.5
TTADDA_NARO_2023_F1P20,2023-07-24,0.79,30.675,,
TTADDA_NARO_2023_F1P20,2023-07-29,,,52.5,57.5
TTADDA_NARO_2023_F1P20,2023-08-01,0.575,27.025,,
TTADDA_NARO_2023_F1P20,2023-08-05,,,52.5,52.5
TTADDA_NARO_2023_F1P20,2023-08-06,0.575,,,
TTADDA_NARO_2023_F1P20,2023-08-09,,24.95,,
TTADDA_NARO_2023_F1P20,2023-08-12,0.525,,40.0,55.0
TTADDA_NARO_2023_F1P20,2023-08-15,,20.1,,
TTADDA_NARO_2023_F1P20,2023-08-19,0.55,,40.0,35.0
TTADDA_NARO_2023_F1P20,2023-08-22,,22.1,,
TTADDA_NARO_2023_F1P20,2023-08-27,0.295,,46.5,22.5
TTADDA_NARO_2023_F1P20,2023-08-29,,16.225,,
TTADDA_NARO_2023_F1P20,2023-09-04,0.225,5.6,0.0,0.0
TTADDA_NARO_2023_F1P20,2023-09-11,,6.425,,
TTADDA_NARO_2023_F1P21,2023-06-06,,,2.5,14.0
TTADDA_NARO_2023_F1P21,2023-06-07,0.17,,,
TTADDA_NARO_2023_F1P21,2023-06-11,,,5.75,29.25
TTADDA_NARO_2023_F1P21,2023-06-12,0.245,53.425,,
TTADDA_NARO_2023_F1P21,2023-06-17,,,11.5,38.5
TTADDA_NARO_2023_F1P21,2023-06-19,0.36,,,
TTADDA_NARO_2023_F1P21,2023-06-20,,47.975,,
TTADDA_NARO_2023_F1P21,2023-06-24,,,25.25,47.5
TTADDA_NARO_2023_F1P21,2023-06-26,0.57,,,
TTADDA_NARO_2023_F1P21,2023-06-27,,55.0,,
TTADDA_NARO_2023_F1P21,2023-07-02,,,31.5,57.5
TTADDA_NARO_2023_F1P21,2023-07-04,0.835,46.85,,
TTADDA_NARO_2023_F1P21,2023-07-08,,,34.75,62.5
TTADDA_NARO_2023_F1P21,2023-07-09,0.685,,,
TTADDA_NARO_2023_F1P21,2023-07-11,,42.925,,
TTADDA_NARO_2023_F1P21,2023-07-16,,,39.0,62.5
TTADDA_NARO_2023_F1P21,2023-07-18,,39.775,,
TTADDA_NARO_2023_F1P21,2023-07-19,0.82,,,
TTADDA_NARO_2023_F1P21,2023-07-22,,,39.0,62.5
TTADDA_NARO_2023_F1P21,2023-07-24,0.76,34.15,,
TTADDA_NARO_2023_F1P21,2023-07-29,,,45.0,60.0
TTADDA_NARO_2023_F1P21,2023-08-01,0.585,29.325,,
TTADDA_NARO_2023_F1P21,2023-08-05,,,39.0,54.0
TTADDA_NARO_2023_F1P21,2023-08-06,0.49,,,
TTADDA_NARO_2023_F1P21,2023-08-09,,22.35,,
TTADDA_NARO_2023_F1P21,2023-08-12,0.455,,37.5,35.0
TTADDA_NARO_2023_F1P21,2023-08-15,,24.05,,
TTADDA_NARO_2023_F1P21,2023-08-19,0.27,,32.5,10.0
TTADDA_NARO_2023_F1P21,2023-08-22,,0.0,,
TTADDA_NARO_2023_F1P21,2023-08-27,,,52.5,0.0
TTADDA_NARO_2023_F1P21,2023-08-29,,0.0,,
TTADDA_NARO_2023_F1P21,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P21,2023-09-11,,,,
TTADDA_NARO_2023_F1P22,2023-06-06,,,3.0,14.25
TTADDA_NARO_2023_F1P22,2023-06-07,0.175,,,
TTADDA_NARO_2023_F1P22,2023-06-11,,,7.75,30.25
TTADDA_NARO_2023_F1P22,2023-06-12,0.285,51.9,,
TTADDA_NARO_2023_F1P22,2023-06-17,,,19.75,43.0
TTADDA_NARO_2023_F1P22,2023-06-19,0.51,,,
TTADDA_NARO_2023_F1P22,2023-06-20,,48.75,,
TTADDA_NARO_2023_F1P22,2023-06-24,,,29.25,48.75
TTADDA_NARO_2023_F1P22,2023-06-26,0.575,,,
TTADDA_NARO_2023_F1P22,2023-06-27,,53.125,,
TTADDA_NARO_2023_F1P22,2023-07-02,,,39.5,61.25
TTADDA_NARO_2023_F1P22,2023-07-04,0.84,43.075,,
TTADDA_NARO_2023_F1P22,2023-07-08,,,48.0,67.5
TTADDA_NARO_2023_F1P22,2023-07-09,0.775,,,
TTADDA_NARO_2023_F1P22,2023-07-11,,37.275,,
TTADDA_NARO_2023_F1P22,2023-07-16,,,50.5,70.0
TTADDA_NARO_2023_F1P22,2023-07-18,,34.275,,
TTADDA_NARO_2023_F1P22,2023-07-19,0.84,,,
TTADDA_NARO_2023_F1P22,2023-07-22,,,55.0,65.0
TTADDA_NARO_2023_F1P22,2023-07-24,0.825,28.325,,
TTADDA_NARO_2023_F1P22,2023-07-29,,,60.0,67.5
TTADDA_NARO_2023_F1P22,2023-08-01,0.79,25.675,,
TTADDA_NARO_2023_F1P22,2023-08-05,,,57.5,75.0
TTADDA_NARO_2023_F1P22,2023-08-06,0.73,,,
TTADDA_NARO_2023_F1P22,2023-08-09,,21.225,,
TTADDA_NARO_2023_F1P22,2023-08-12,0.71,,55.0,70.0
TTADDA_NARO_2023_F1P22,2023-08-15,,16.775,,
TTADDA_NARO_2023_F1P22,2023-08-19,0.615,,52.5,67.5
TTADDA_NARO_2023_F1P22,2023-08-22,,15.05,,
TTADDA_NARO_2023_F1P22,2023-08-27,0.42,,24.0,30.0
TTADDA_NARO_2023_F1P22,2023-08-29,,8.6,,
TTADDA_NARO_2023_F1P22,2023-09-04,0.26,,0.0,0.0
TTADDA_NARO_2023_F1P22,2023-09-11,,,,
TTADDA_NARO_2023_F1P23,2023-06-06,,,3.0,17.0
TTADDA_NARO_2023_F1P23,2023-06-07,0.185,,,
TTADDA_NARO_2023_F1P23,2023-06-11,,,6.25,29.5
TTADDA_NARO_2023_F1P23,2023-06-12,0.275,52.925,,
TTADDA_NARO_2023_F1P23,2023-06-17,,,24.0,44.25
TTADDA_NARO_2023_F1P23,2023-06-19,0.45,,,
TTADDA_NARO_2023_F1P23,2023-06-20,,52.3,,
TTADDA_NARO_2023_F1P23,2023-06-24,,,32.0,52.5
TTADDA_NARO_2023_F1P23,2023-06-26,0.485,,,
TTADDA_NARO_2023_F1P23,2023-06-27,,55.975,,
TTADDA_NARO_2023_F1P23,2023-07-02,,,40.75,63.75
TTADDA_NARO_2023_F1P23,2023-07-04,0.79,45.025,,
TTADDA_NARO_2023_F1P23,2023-07-08,,,40.0,58.75
TTADDA_NARO_2023_F1P23,2023-07-09,0.74,,,
TTADDA_NARO_2023_F1P23,2023-07-11,,44.0,,
TTADDA_NARO_2023_F1P23,2023-07-16,,,38.75,65.0
TTADDA_NARO_2023_F1P23,2023-07-18,,39.55,,
TTADDA_NARO_2023_F1P23,2023-07-19,0.865,,,
TTADDA_NARO_2023_F1P23,2023-07-22,,,40.0,57.5
TTADDA_NARO_2023_F1P23,2023-07-24,0.815,36.525,,
TTADDA_NARO_2023_F1P23,2023-07-29,,,50.0,62.5
TTADDA_NARO_2023_F1P23,2023-08-01,0.615,30.225,,
TTADDA_NARO_2023_F1P23,2023-08-05,,,45.0,55.0
TTADDA_NARO_2023_F1P23,2023-08-06,0.56,,,
TTADDA_NARO_2023_F1P23,2023-08-09,,25.55,,
TTADDA_NARO_2023_F1P23,2023-08-12,0.6,,40.0,52.5
TTADDA_NARO_2023_F1P23,2023-08-15,,23.775,,
TTADDA_NARO_2023_F1P23,2023-08-19,0.485,,46.5,35.0
TTADDA_NARO_2023_F1P23,2023-08-22,,14.875,,
TTADDA_NARO_2023_F1P23,2023-08-27,0.17,,0.0,2.5
TTADDA_NARO_2023_F1P23,2023-08-29,,2.45,,
TTADDA_NARO_2023_F1P23,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P23,2023-09-11,,,,
TTADDA_NARO_2023_F1P24,2023-06-06,,,3.0,17.6666666666667
TTADDA_NARO_2023_F1P24,2023-06-07,0.19,,,
TTADDA_NARO_2023_F1P24,2023-06-11,,,7.25,38.25
TTADDA_NARO_2023_F1P24,2023-06-12,0.315,50.25,,
TTADDA_NARO_2023_F1P24,2023-06-17,,,19.0,42.0
TTADDA_NARO_2023_F1P24,2023-06-19,0.36,,,
TTADDA_NARO_2023_F1P24,2023-06-20,,50.075,,
TTADDA_NARO_2023_F1P24,2023-06-24,,,26.5,52.0
TTADDA_NARO_2023_F1P24,2023-06-26,0.57,,,
TTADDA_NARO_2023_F1P24,2023-06-27,,55.875,,
